"_id","eqid","classDate","classId","workID","lineid","lineState","linename","qty_IN","qty","calculateQTY","passqty","badnessqty","acQty_IN","actualQty","actuaPassQty","frate","mrate","theoreticalqty","achieverate","yield","onlineInventory","planqty","ddate"
"6819c2131b1ce60c554feed2","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:27"
"6819c2101b1ce60c554feed1","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:24"
"6819c20d1b1ce60c554feed0","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:21"
"6819c20a1b1ce60c554feecf","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:18"
"6819c2041b1ce60c554feece","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:12"
"6819c1fe1b1ce60c554feecd","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:06"
"6819c1f81b1ce60c554feecc","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:00"
"6819c1f21b1ce60c554feecb","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:54"
"6819c1ef1b1ce60c554feeca","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:51"
"6819c1ec1b1ce60c554feec9","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:48"
"6819c1e61b1ce60c554feec8","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:01:42"
